title,description,published_at,source,industry,text,finbert_sentiment,finbert_score,vader_sentiment,vader_score,resolved_sentiment,numeric_sentiment
"'Nowhere to absorb it': From consumer small business to big food, the Trump tariff cost warnings mount","President Trump's 'Liberation Day' tariffs on countries around the world will hit food and consumer businesses particularly hard, say CEOs in the sector.",2025-04-01T18:46:10Z,CNBC,fmcg,"'Nowhere to absorb it': From consumer small business to big food, the Trump tariff cost warnings mount. President Trump's 'Liberation Day' tariffs on countries around the world will hit food and consumer businesses particularly hard, say CEOs in the sector.",negative,0.9234979152679444,negative,-0.4391,negative,-1
"Stock Market Highlights 4 April 2025: Sensex, Nifty close sharply lower on US tariff announcement; metal index worst affected","Sensex, Nifty, Share Prices: Equity markets plummeted on Friday with the benchmark indices shedding over 1 per cent as fears of a global trade war and recession concerns rattled investor sentiment following sweeping tariff announcements by US President Donald…",2025-04-04T01:07:54Z,BusinessLine,fmcg,"Stock Market Highlights 4 April 2025: Sensex, Nifty close sharply lower on US tariff announcement; metal index worst affected. Sensex, Nifty, Share Prices: Equity markets plummeted on Friday with the benchmark indices shedding over 1 per cent as fears of a global trade war and recession concerns rattled investor sentiment following sweeping tariff announcements by US President Donald…",negative,0.9721411466598512,negative,-0.8689,negative,-1
Is the worst over? Mihir Vora on the market’s next big moves,"Mihir Vora, CIO at Trust Mutual Fund, discusses market trends, highlighting the end of the correction phase and the potential growth in various sectors such as large banks, NBFCs, construction, and capital goods. He also mentions optimistic earnings forecasts…",2025-03-27T06:49:16Z,The Times of India,infrastructure,"Is the worst over? Mihir Vora on the market’s next big moves. Mihir Vora, CIO at Trust Mutual Fund, discusses market trends, highlighting the end of the correction phase and the potential growth in various sectors such as large banks, NBFCs, construction, and capital goods. He also mentions optimistic earnings forecasts…",neutral,0.7760860919952393,positive,0.4767,positive,1
How India's market slump impacts small investors,"Trump's repeated tariff threats have rattled global markets. But in India, the market slump isn't just about Trump. Millions of small investors are feeling the squeeze — for reasons beyond a potential US trade war.",2025-03-24T13:37:00Z,DW (English),infrastructure,"How India's market slump impacts small investors. Trump's repeated tariff threats have rattled global markets. But in India, the market slump isn't just about Trump. Millions of small investors are feeling the squeeze — for reasons beyond a potential US trade war.",negative,0.6532797813415527,negative,-0.7579,negative,-1
How India's market slump is affecting small investors,"Trump's tariff threats have rattled global markets. But in India, the market slump isn't just about the new US president. Millions of small investors are feeling the squeeze, for other reasons than a trade war.",2025-03-24T13:37:00Z,DW (English),infrastructure,"How India's market slump is affecting small investors. Trump's tariff threats have rattled global markets. But in India, the market slump isn't just about the new US president. Millions of small investors are feeling the squeeze, for other reasons than a trade war.",negative,0.7775393128395081,negative,-0.7579,negative,-1
India looks attractive; 4 themes could prove to be longer term stories: Jonathan Schiessl,"Jonathan Schiessl of Westminster Asset Management discusses sector prospects. He sees potential in IT, selective healthcare, and FMCG for medium to long-term investments. He advises caution on the auto and metal sectors due to competition and global issues. S…",2025-03-25T02:41:00Z,The Times of India,infrastructure,"India looks attractive; 4 themes could prove to be longer term stories: Jonathan Schiessl. Jonathan Schiessl of Westminster Asset Management discusses sector prospects. He sees potential in IT, selective healthcare, and FMCG for medium to long-term investments. He advises caution on the auto and metal sectors due to competition and global issues. S…",neutral,0.8697854280471802,positive,0.765,positive,1
There is no deep value in this market; go for a diversified portfolio: Prashant Jain,"Prashant Jain of 3P Investment Managers suggests a diversified portfolio approach due to low valuation dispersion, noting no sector trades below 15-year average multiples, with premiums mainly in capital goods and consumer discretionary. He anticipates India'…",2025-04-09T02:41:00Z,The Times of India,infrastructure,"There is no deep value in this market; go for a diversified portfolio: Prashant Jain. Prashant Jain of 3P Investment Managers suggests a diversified portfolio approach due to low valuation dispersion, noting no sector trades below 15-year average multiples, with premiums mainly in capital goods and consumer discretionary. He anticipates India'…",neutral,0.7769880294799805,negative,-0.7605,negative,-1
Is A Recession Coming In 2025?,"Will a recession hit in 2025? Explore expert forecasts, economic indicators, and potential impacts. Stay informed and prepare for what's ahead.",2025-04-04T20:40:10Z,Forbes,infrastructure,"Is A Recession Coming In 2025?. Will a recession hit in 2025? Explore expert forecasts, economic indicators, and potential impacts. Stay informed and prepare for what's ahead.",neutral,0.9039536118507384,negative,-0.7149,negative,-1
"Post correction, Zomato, Swiggy, PB Fintech, Paytm are worth nibbling into: Pashupati Advani","Pashupati Advani highlights the potential in new-age tech stocks such as Zomato, Swiggy, and Paytm after recent corrections. He also suggests considering traditional industries like infrastructure, steel, and cement supported by government spending. Defence c…",2025-03-20T03:21:00Z,The Times of India,infrastructure,"Post correction, Zomato, Swiggy, PB Fintech, Paytm are worth nibbling into: Pashupati Advani. Pashupati Advani highlights the potential in new-age tech stocks such as Zomato, Swiggy, and Paytm after recent corrections. He also suggests considering traditional industries like infrastructure, steel, and cement supported by government spending. Defence c…",neutral,0.7727570533752441,positive,0.7269,positive,1
India may become best-performing market in 2nd half of FY25: Mayuresh Joshi,"Amidst a mixed earnings season, the IT sector faces headwinds from discretionary spending uncertainty and pricing challenges, potentially delaying recovery. However, domestically focused sectors like agrochemicals, healthcare, and banking show promise. Valuat…",2025-04-19T03:30:00Z,The Times of India,infrastructure,"India may become best-performing market in 2nd half of FY25: Mayuresh Joshi. Amidst a mixed earnings season, the IT sector faces headwinds from discretionary spending uncertainty and pricing challenges, potentially delaying recovery. However, domestically focused sectors like agrochemicals, healthcare, and banking show promise. Valuat…",negative,0.8587685227394104,positive,0.6486,neutral,0
Fund Manager Talk | How Axis MF's Shreyash Devalkar is tweaking portfolio amid tariff tantrum,"On the positive side there has been a good union budget (tax rates cut), easing actions by the central bank (rate cuts, liquidity boost, regulatory relaxations), and uptick in government spending. The rally in March was a welcome relief. However, I believe th…",2025-04-08T03:30:00Z,The Times of India,infrastructure,"Fund Manager Talk | How Axis MF's Shreyash Devalkar is tweaking portfolio amid tariff tantrum. On the positive side there has been a good union budget (tax rates cut), easing actions by the central bank (rate cuts, liquidity boost, regulatory relaxations), and uptick in government spending. The rally in March was a welcome relief. However, I believe th…",positive,0.939993977546692,positive,0.9042,positive,1
"Post tariff tantrum, expect a correction in short term; more positive on India in H2: Manishi Raychaudhuri",Veteran Investor Manishi Raychaudhuri discusses the impact of recent tariffs on various Asian markets. He points out the surprising calmness in financial markets and highlights sectors like IT and pharma. He expects a short-term correction in Indian markets b…,2025-04-03T09:23:19Z,The Times of India,infrastructure,"Post tariff tantrum, expect a correction in short term; more positive on India in H2: Manishi Raychaudhuri. Veteran Investor Manishi Raychaudhuri discusses the impact of recent tariffs on various Asian markets. He points out the surprising calmness in financial markets and highlights sectors like IT and pharma. He expects a short-term correction in Indian markets b…",positive,0.561789870262146,positive,0.8122,positive,1
National Bank Financial Forecasts WSP Global Q2 Earnings,"WSP Global Inc. (TSE:WSP – Free Report) – Stock analysts at National Bank Financial raised their Q2 2025 earnings estimates for shares of WSP Global in a report issued on Tuesday, April 8th. National Bank Financial analyst M. Sytchev now anticipates that the …",2025-04-12T06:10:53Z,ETF Daily News,infrastructure,"National Bank Financial Forecasts WSP Global Q2 Earnings. WSP Global Inc. (TSE:WSP – Free Report) – Stock analysts at National Bank Financial raised their Q2 2025 earnings estimates for shares of WSP Global in a report issued on Tuesday, April 8th. National Bank Financial analyst M. Sytchev now anticipates that the …",positive,0.935224950313568,positive,0.6705,positive,1
"This is not the time to take cash calls, go back to drawing table to evaluate opportunities: Nilesh Shah, Envision Capital","Nilesh Shah of Envision Capital advises against holding cash. He suggests a constructive and proactive approach. Focus on sectors like consumer goods, digital platforms, and infrastructure. These are less dependent on global events. Financials also present a …",2025-04-09T07:57:32Z,The Times of India,infrastructure,"This is not the time to take cash calls, go back to drawing table to evaluate opportunities: Nilesh Shah, Envision Capital. Nilesh Shah of Envision Capital advises against holding cash. He suggests a constructive and proactive approach. Focus on sectors like consumer goods, digital platforms, and infrastructure. These are less dependent on global events. Financials also present a …",neutral,0.8691514134407043,positive,0.7845,positive,1
"Senate moves to cut election costs, boost voters’ turnout","The Senate on Thursday passed a bill seeking to amend the Electoral Act 2022 to address existing gaps, reduce election expenses, enable elected public officeholders to serve as ad hoc delegates in political party conventions and allow elections to be conducte…",2025-03-27T17:51:48Z,The Punch,infrastructure,"Senate moves to cut election costs, boost voters’ turnout. The Senate on Thursday passed a bill seeking to amend the Electoral Act 2022 to address existing gaps, reduce election expenses, enable elected public officeholders to serve as ad hoc delegates in political party conventions and allow elections to be conducte…",positive,0.7567934989929199,positive,0.6369,positive,1
India To Grow At 6.5% In FY26: Report,"The Indian economy is likely to grow at 6.5 per cent in the fiscal year starting April 1, EY Economy Watch said.",2025-03-30T07:44:23Z,NDTV News,infrastructure,"India To Grow At 6.5% In FY26: Report. The Indian economy is likely to grow at 6.5 per cent in the fiscal year starting April 1, EY Economy Watch said.",positive,0.8878817558288574,neutral,0.0,positive,1
ETMarkets Smart Talk | Global risks persist but India shines as a structural growth story: Ashok Jain,"India's structural growth outlook remains positive, with 80% of GDP growth driven by domestic factors. The market is poised for growth in the next 5-10 years, despite short-term challenges. Diversification into global markets and well-diversified portfolios a…",2025-04-08T03:30:00Z,The Times of India,infrastructure,"ETMarkets Smart Talk | Global risks persist but India shines as a structural growth story: Ashok Jain. India's structural growth outlook remains positive, with 80% of GDP growth driven by domestic factors. The market is poised for growth in the next 5-10 years, despite short-term challenges. Diversification into global markets and well-diversified portfolios a…",positive,0.907178521156311,positive,0.9681,positive,1
Indian economy to grow at 6.5% in FY26: EY Economy Watch report,The analysis suggests that education spending by the government may need to rise to 6.5 per cent of GDP by FY2048.,2025-03-30T05:34:41Z,BusinessLine,infrastructure,Indian economy to grow at 6.5% in FY26: EY Economy Watch report. The analysis suggests that education spending by the government may need to rise to 6.5 per cent of GDP by FY2048.,positive,0.9210960865020752,neutral,0.0,positive,1
Beyond FDs: The untapped potential of embedded finance in democratizing fixed income for Bharat,"India's fixed-income market is evolving, driven by the rise of embedded finance and regulatory reforms. Integrated financial services are making bonds more accessible to retail investors, promising greater financial inclusion and a diversified funding landsca…",2025-04-02T05:26:42Z,The Times of India,infrastructure,"Beyond FDs: The untapped potential of embedded finance in democratizing fixed income for Bharat. India's fixed-income market is evolving, driven by the rise of embedded finance and regulatory reforms. Integrated financial services are making bonds more accessible to retail investors, promising greater financial inclusion and a diversified funding landsca…",positive,0.837594747543335,positive,0.6369,positive,1
Easing inflation may help India counter the headwinds from trade tensions : RBI Bulletin,"India's inflation has decreased from over 6% in October 2024 to 3.6% in February 2025, aiding in countering trade tensions and global economic uncertainty. Despite capital outflows, robust agricultural performance and consumption drive economic growth with pr…",2025-03-19T16:31:10Z,The Times of India,infrastructure,"Easing inflation may help India counter the headwinds from trade tensions : RBI Bulletin. India's inflation has decreased from over 6% in October 2024 to 3.6% in February 2025, aiding in countering trade tensions and global economic uncertainty. Despite capital outflows, robust agricultural performance and consumption drive economic growth with pr…",positive,0.6416065096855164,negative,-0.3687,neutral,0
CP-CD issuances at multi-year high in FY25 as lenders rely on short-term papers to meet funding gap amid tight liquidity,"Fundraising through commercial papers was the highest in FY25 in the last 3 years, whereas funding through certificates of deposit was the highest in the last five years, according to data by primedatabase.com.",2025-04-14T00:30:19Z,Livemint,infrastructure,"CP-CD issuances at multi-year high in FY25 as lenders rely on short-term papers to meet funding gap amid tight liquidity. Fundraising through commercial papers was the highest in FY25 in the last 3 years, whereas funding through certificates of deposit was the highest in the last five years, according to data by primedatabase.com.",positive,0.7431346774101257,neutral,0.0,positive,1
This market is more for investors and not traders; go look in these 3 buckets: Neeraj Dewan,"Market expert Neeraj Dewan suggests focusing on domestic sectors like defence and railways. Sectors oversold due to tariff concerns, such as autos and IT, present opportunities. Defensives like Lever and Britannia are performing well. Investors should conside…",2025-04-15T06:12:44Z,The Times of India,infrastructure,"This market is more for investors and not traders; go look in these 3 buckets: Neeraj Dewan. Market expert Neeraj Dewan suggests focusing on domestic sectors like defence and railways. Sectors oversold due to tariff concerns, such as autos and IT, present opportunities. Defensives like Lever and Britannia are performing well. Investors should conside…",neutral,0.5570129752159119,positive,0.8316,positive,1
"""Dawai, ilaj par mehangai ki Bhajpai goli"": Congress attacks Centre over handling of healthcare","Congress President Mallikarjun Kharge criticized the ruling party's handling of India's health system on World Health Day. He highlighted issues such as medical inflation, rising treatment costs, and insufficient government spending on healthcare. PM Narendra…",2025-04-07T04:36:48Z,The Times of India,infrastructure,"""Dawai, ilaj par mehangai ki Bhajpai goli"": Congress attacks Centre over handling of healthcare. Congress President Mallikarjun Kharge criticized the ruling party's handling of India's health system on World Health Day. He highlighted issues such as medical inflation, rising treatment costs, and insufficient government spending on healthcare. PM Narendra…",negative,0.9263629913330078,negative,-0.6597,negative,-1
"ETMarkets Smart Talk: Planning to deploy Rs 10 lakh in FY26? Think largecaps with a time horizon of 3-5 years, says Suresh Soni",March has seen a bounce back in the equity markets after almost 5 months of negative returns for the benchmark indices. The NIFTY50 has turned positive for CYTD.,2025-04-01T03:30:00Z,The Times of India,infrastructure,"ETMarkets Smart Talk: Planning to deploy Rs 10 lakh in FY26? Think largecaps with a time horizon of 3-5 years, says Suresh Soni. March has seen a bounce back in the equity markets after almost 5 months of negative returns for the benchmark indices. The NIFTY50 has turned positive for CYTD.",positive,0.9461225271224976,positive,0.3818,positive,1
India’s domestic fundamentals remain strong amid global headwinds: Axis Securities CIO,"As India enters the new financial year FY26, investors are navigating a complex landscape of domestic opportunities and global uncertainties. To help make sense of what lies ahead for the markets, Naveen Kulkarni, Chief Investment Officer at Axis Securities, …",2025-04-19T03:17:20Z,BusinessLine,infrastructure,"India’s domestic fundamentals remain strong amid global headwinds: Axis Securities CIO. As India enters the new financial year FY26, investors are navigating a complex landscape of domestic opportunities and global uncertainties. To help make sense of what lies ahead for the markets, Naveen Kulkarni, Chief Investment Officer at Axis Securities, …",neutral,0.7876235246658325,positive,0.7783,positive,1
"The Democratization of Investing: Expanding Prosperity in More Places, for More People","I hear it from nearly every client, nearly every leader—nearly every person—I talk to: They’re more anxious about the economy than any time in recent memory. I understand why. But we have lived through moments like this before. And somehow, in the long run, w…",2025-04-14T13:32:18Z,Harvard School of Engineering and Applied Sciences,infrastructure,"The Democratization of Investing: Expanding Prosperity in More Places, for More People. I hear it from nearly every client, nearly every leader—nearly every person—I talk to: They’re more anxious about the economy than any time in recent memory. I understand why. But we have lived through moments like this before. And somehow, in the long run, w…",neutral,0.8427180647850037,positive,0.3825,positive,1
Exemption-triggered 2% jump sees domestic markets wipe out post-levy losses,"Analysts said the optimism on receding tariff uncertainty, following the 90-day pause on activation, and exemptions on items that have the greatest dependence on elaborate Asian supply chains, are expected to drive the benchmark Nifty toward 24,000.",2025-04-16T00:53:59Z,The Times of India,infrastructure,"Exemption-triggered 2% jump sees domestic markets wipe out post-levy losses. Analysts said the optimism on receding tariff uncertainty, following the 90-day pause on activation, and exemptions on items that have the greatest dependence on elaborate Asian supply chains, are expected to drive the benchmark Nifty toward 24,000.",positive,0.930681586265564,positive,0.743,positive,1
"IT, banks to lead next phase of market rally: Religare’s Ravi Singh","The IT and banking sectors are poised to drive the next market rally, supported by strong Q3 earnings, favorable valuations, and policy tailwinds. Experts highlight global interest rate trends, inflation management, and sectoral resilience as key investment c…",2025-03-29T08:15:47Z,The Times of India,infrastructure,"IT, banks to lead next phase of market rally: Religare’s Ravi Singh. The IT and banking sectors are poised to drive the next market rally, supported by strong Q3 earnings, favorable valuations, and policy tailwinds. Experts highlight global interest rate trends, inflation management, and sectoral resilience as key investment c…",positive,0.916351318359375,positive,0.9337,positive,1
"Share Market Highlights: Sensex jumps 1.4%, Nifty gains 1.32% as foreign buying lifts markets","Sensex, Nifty updates on 24 March 2025: The benchmark BSE Sensex jumped 1.4% to 77,984.38, while the NSE Nifty gained 1.32% to 23,658, driven by renewed foreign investor interest and bargain hunting. Banking and IT stocks led the rally. The Indian rupee surge…",2025-03-24T01:10:00Z,BusinessLine,infrastructure,"Share Market Highlights: Sensex jumps 1.4%, Nifty gains 1.32% as foreign buying lifts markets. Sensex, Nifty updates on 24 March 2025: The benchmark BSE Sensex jumped 1.4% to 77,984.38, while the NSE Nifty gained 1.32% to 23,658, driven by renewed foreign investor interest and bargain hunting. Banking and IT stocks led the rally. The Indian rupee surge…",positive,0.9462653398513794,positive,0.9524,positive,1
Vladimir Putin visited Arkhangelsk nuclear-powered cruiser submarine,"The President toured the cruiser's control centre, the crew quarters and weapons storage facilities, and also spoke with the crew members.",2025-03-29T08:13:40Z,Globalsecurity.org,infrastructure,"Vladimir Putin visited Arkhangelsk nuclear-powered cruiser submarine. The President toured the cruiser's control centre, the crew quarters and weapons storage facilities, and also spoke with the crew members.",neutral,0.902220904827118,negative,-0.4404,negative,-1
Biosensors Market to Worth Over USD 75.84 Billion by 2033 | Astute Analytica,"Biosensors market in 2025 is driven by advanced healthcare applications, dominated by oxidoreductase enzymes and non-wearable devices, addressing chronic diseases, real-time diagnostics, and industrial monitoring with unparalleled precision, reliability, and …",2025-04-16T12:30:00Z,GlobeNewswire,infrastructure,"Biosensors Market to Worth Over USD 75.84 Billion by 2033 | Astute Analytica. Biosensors market in 2025 is driven by advanced healthcare applications, dominated by oxidoreductase enzymes and non-wearable devices, addressing chronic diseases, real-time diagnostics, and industrial monitoring with unparalleled precision, reliability, and …",neutral,0.6118074655532837,positive,0.4404,positive,1
